order_id,item_number,shipment_id,delivery_time_days,on_time,delay_reason
1000001,10,2001001.0,2.0,False,
1000001,20,2001001.0,2.0,False,
1000002,10,2001002.0,2.0,False,
1000003,10,2001003.0,2.0,False,
1000004,10,2001004.0,1.0,False,
1000005,10,2001005.0,1.0,False,
1000006,10,2001006.0,1.0,False,
1000007,10,2001007.0,1.0,False,
1000008,10,2001008.0,1.0,False,
1000009,10,2001009.0,1.0,False,
1000010,10,2001010.0,1.0,False,
1000011,10,2001011.0,1.0,False,
1000012,10,2001012.0,1.0,False,
1000013,10,2001013.0,1.0,False,
1000014,10,2001014.0,1.0,False,
1000015,10,2001015.0,1.0,False,
1000016,10,2001016.0,1.0,False,
1000017,10,2001017.0,1.0,False,
1000018,10,2001018.0,1.0,False,
1000019,10,2001019.0,1.0,False,
1000020,10,2001020.0,1.0,False,
1000021,10,,,,
1000022,10,,,,
