order_id,item_number,customer_id,product_id,requested_delivery_date,delivery_date,delivery_gap_days,on_time_proxy
1000001,10,CUST001,MAT001,2025-02-08,2025-02-10,2.0,False
1000001,20,CUST001,MAT002,2025-02-08,2025-02-10,2.0,False
1000002,10,CUST002,MAT003,2025-02-09,2025-02-11,2.0,False
1000003,10,CUST003,MAT001,2025-02-10,2025-02-12,2.0,False
1000004,10,CUST004,MAT004,2025-02-12,2025-02-13,1.0,False
1000005,10,CUST005,MAT001,2025-02-13,2025-02-14,1.0,False
1000006,10,CUST006,MAT003,2025-02-14,2025-02-15,1.0,False
1000007,10,CUST007,MAT002,2025-02-15,2025-02-16,1.0,False
1000008,10,CUST008,MAT004,2025-02-16,2025-02-17,1.0,False
1000009,10,CUST009,MAT001,2025-02-17,2025-02-18,1.0,False
1000010,10,CUST010,MAT003,2025-02-18,2025-02-19,1.0,False
1000011,10,CUST011,MAT002,2025-02-19,2025-02-20,1.0,False
1000012,10,CUST012,MAT001,2025-02-20,2025-02-21,1.0,False
1000013,10,CUST013,MAT004,2025-02-21,2025-02-22,1.0,False
1000014,10,CUST014,MAT003,2025-02-22,2025-02-23,1.0,False
1000015,10,CUST015,MAT002,2025-02-23,2025-02-24,1.0,False
1000016,10,CUST016,MAT001,2025-02-24,2025-02-25,1.0,False
1000017,10,CUST017,MAT003,2025-02-25,2025-02-26,1.0,False
1000018,10,CUST018,MAT004,2025-02-26,2025-02-27,1.0,False
1000019,10,CUST019,MAT001,2025-02-27,2025-02-28,1.0,False
1000020,10,CUST020,MAT002,2025-02-28,2025-03-01,1.0,False
1000021,10,CUST021,MAT003,2025-03-01,,,
1000022,10,CUST022,MAT004,2025-03-02,,,
