order_id,order_date,customer_id,order_type,Sales Organization,Distribution Channel,Division,order_status,item_number,product_id,order_quantity,unit_price,item_status,requested_delivery_date,customer_name,country,region,city
1000001,2025-02-01,CUST001,OR,1000,10,1,Open,10,MAT001,100,50,Open,2025-02-08,Customer A,US,NY,New York
1000001,2025-02-01,CUST001,OR,1000,10,1,Open,20,MAT002,200,30,Open,2025-02-08,Customer A,US,NY,New York
1000002,2025-02-02,CUST002,OR,1000,20,1,Delivered,10,MAT003,150,40,Delivered,2025-02-09,Customer B,DE,BW,Stuttgart
1000003,2025-02-05,CUST003,OR,1000,10,1,Open,10,MAT001,300,50,Open,2025-02-10,Customer C,UK,ENG,London
1000004,2025-02-06,CUST004,OR,1000,10,1,Closed,10,MAT004,500,25,Closed,2025-02-12,Customer D,FR,IDF,Paris
1000005,2025-02-07,CUST005,OR,1000,20,1,Open,10,MAT001,200,50,Open,2025-02-13,Customer E,IN,DL,New Delhi
1000006,2025-02-08,CUST006,OR,2000,10,2,Delivered,10,MAT003,120,40,Delivered,2025-02-14,Customer F,JP,13,Tokyo
1000007,2025-02-09,CUST007,OR,1000,30,3,Open,10,MAT002,250,30,Open,2025-02-15,Customer G,US,CA,Los Angeles
1000008,2025-02-10,CUST008,OR,1000,10,1,Closed,10,MAT004,300,25,Delivered,2025-02-16,Customer H,CN,BJ,Beijing
1000009,2025-02-11,CUST009,OR,1000,20,2,Open,10,MAT001,350,50,Open,2025-02-17,Customer I,IT,LAZ,Rome
1000010,2025-02-12,CUST010,OR,1000,10,1,Open,10,MAT003,400,40,Open,2025-02-18,Customer J,AU,NSW,Sydney
1000011,2025-02-13,CUST011,OR,3000,10,2,Delivered,10,MAT002,150,30,Delivered,2025-02-19,Customer K,CA,ON,Toronto
1000012,2025-02-14,CUST012,OR,2000,20,1,Closed,10,MAT001,500,50,Closed,2025-02-20,Customer L,ES,MAD,Madrid
1000013,2025-02-15,CUST013,OR,1000,10,1,Open,10,MAT004,200,25,Open,2025-02-21,Customer M,NL,NH,Amsterdam
1000014,2025-02-16,CUST014,OR,1000,10,1,Delivered,10,MAT003,250,40,Open,2025-02-22,Customer N,SE,AB,Stockholm
1000015,2025-02-17,CUST015,OR,1000,20,2,Open,10,MAT002,400,30,Delivered,2025-02-23,Customer O,BE,VLG,Brussels
1000016,2025-02-18,CUST016,OR,1000,30,3,Closed,10,MAT001,300,50,Closed,2025-02-24,Customer P,AU,VIC,Melbourne
1000017,2025-02-19,CUST017,OR,1000,10,1,Delivered,10,MAT003,150,40,Delivered,2025-02-25,Customer Q,IN,MH,Mumbai
1000018,2025-02-20,CUST018,OR,1000,20,1,Open,10,MAT004,500,25,Open,2025-02-26,Customer R,ZA,GP,Johannesburg
1000019,2025-02-21,CUST019,OR,1000,10,2,Closed,10,MAT001,250,50,Delivered,2025-02-27,Customer S,FR,PACA,Marseille
1000020,2025-02-22,CUST020,OR,1000,20,1,Open,10,MAT002,200,30,Open,2025-02-28,Customer T,IT,TOS,Florence
1000021,2025-02-23,CUST021,OR,3000,10,1,Delivered,10,MAT003,180,40,Open,2025-03-01,Customer U,US,TX,Dallas
1000022,2025-02-24,CUST022,OR,2000,20,2,Open,10,MAT004,220,25,Open,2025-03-02,Customer V,DE,HH,Hamburg
