order_id,customer_id,order_date,order_status,total_order_items,total_ordered_qty,total_deliveries,total_delivered_qty,delivery_statuses,total_shipments,total_shipped_qty,shipment_statuses,avg_delivery_gap_days,pct_items_on_time_proxy,outstanding_qty
1000001,CUST001,2025-02-01,Open,2,300,1.0,300.0,Delivered,1.0,300.0,Delivered,2.0,0.0,0.0
1000002,CUST002,2025-02-02,Delivered,1,150,1.0,150.0,Delivered,1.0,150.0,Delivered,2.0,0.0,0.0
1000003,CUST003,2025-02-05,Open,1,300,1.0,300.0,Delivered,1.0,300.0,Delivered,2.0,0.0,0.0
1000004,CUST004,2025-02-06,Closed,1,500,1.0,500.0,Delivered,1.0,500.0,Delivered,1.0,0.0,0.0
1000005,CUST005,2025-02-07,Open,1,200,1.0,200.0,Delivered,1.0,200.0,Delivered,1.0,0.0,0.0
1000006,CUST006,2025-02-08,Delivered,1,120,1.0,120.0,Delivered,1.0,120.0,Delivered,1.0,0.0,0.0
1000007,CUST007,2025-02-09,Open,1,250,1.0,250.0,Delivered,1.0,250.0,Delivered,1.0,0.0,0.0
1000008,CUST008,2025-02-10,Closed,1,300,1.0,300.0,Delivered,1.0,300.0,Delivered,1.0,0.0,0.0
1000009,CUST009,2025-02-11,Open,1,350,1.0,350.0,Delivered,1.0,350.0,Delivered,1.0,0.0,0.0
1000010,CUST010,2025-02-12,Open,1,400,1.0,400.0,Delivered,1.0,400.0,Delivered,1.0,0.0,0.0
1000011,CUST011,2025-02-13,Delivered,1,150,1.0,150.0,Delivered,1.0,150.0,Delivered,1.0,0.0,0.0
1000012,CUST012,2025-02-14,Closed,1,500,1.0,500.0,Delivered,1.0,500.0,Delivered,1.0,0.0,0.0
1000013,CUST013,2025-02-15,Open,1,200,1.0,200.0,Delivered,1.0,200.0,Delivered,1.0,0.0,0.0
1000014,CUST014,2025-02-16,Delivered,1,250,1.0,250.0,Delivered,1.0,250.0,Delivered,1.0,0.0,0.0
1000015,CUST015,2025-02-17,Open,1,400,1.0,400.0,Delivered,1.0,400.0,Delivered,1.0,0.0,0.0
1000016,CUST016,2025-02-18,Closed,1,300,1.0,300.0,Delivered,1.0,300.0,Delivered,1.0,0.0,0.0
1000017,CUST017,2025-02-19,Delivered,1,150,1.0,150.0,Delivered,1.0,150.0,Delivered,1.0,0.0,0.0
1000018,CUST018,2025-02-20,Open,1,500,1.0,500.0,Delivered,1.0,500.0,Delivered,1.0,0.0,0.0
1000019,CUST019,2025-02-21,Closed,1,250,1.0,250.0,Delivered,1.0,250.0,Delivered,1.0,0.0,0.0
1000020,CUST020,2025-02-22,Open,1,200,1.0,200.0,Delivered,1.0,200.0,Delivered,1.0,0.0,0.0
1000021,CUST021,2025-02-23,Delivered,1,180,,,,,,,,,180.0
1000022,CUST022,2025-02-24,Open,1,220,,,,,,,,,220.0
