analytics_id,order_id,item_number,shipment_id,delivery_time_days,on_time,delay_reason
1,1000001,10,2001001,2,0,
2,1000001,20,2001001,2,0,
3,1000002,10,2001002,2,0,
4,1000003,10,2001003,2,0,
5,1000004,10,2001004,1,0,
6,1000005,10,2001005,1,0,
7,1000006,10,2001006,1,0,
8,1000007,10,2001007,1,0,
9,1000008,10,2001008,1,0,
10,1000009,10,2001009,1,0,
11,1000010,10,2001010,1,0,
12,1000011,10,2001011,1,0,
13,1000012,10,2001012,1,0,
14,1000013,10,2001013,1,0,
15,1000014,10,2001014,1,0,
16,1000015,10,2001015,1,0,
17,1000016,10,2001016,1,0,
18,1000017,10,2001017,1,0,
19,1000018,10,2001018,1,0,
20,1000019,10,2001019,1,0,
21,1000020,10,2001020,1,0,
22,1000021,10,,,,
23,1000022,10,,,,
