delivery_id,item_number,product_id,order_id,customer_id,sales_item,delivered_quantity,net_price,item_delivery_status,delivery_date
1001001,10,MAT001,1000001,CUST001,10,100,50,Delivered,2025-02-10
1001001,20,MAT002,1000001,CUST001,20,200,30,Delivered,2025-02-10
1001002,10,MAT003,1000002,CUST002,10,150,40,Delivered,2025-02-11
1001003,10,MAT001,1000003,CUST003,10,300,50,Delivered,2025-02-12
1001004,10,MAT004,1000004,CUST004,10,500,25,Delivered,2025-02-13
1001005,10,MAT001,1000005,CUST005,10,200,50,Delivered,2025-02-14
1001006,10,MAT003,1000006,CUST006,10,120,40,Delivered,2025-02-15
1001007,10,MAT002,1000007,CUST007,10,250,30,Delivered,2025-02-16
1001008,10,MAT004,1000008,CUST008,10,300,25,Delivered,2025-02-17
1001009,10,MAT001,1000009,CUST009,10,350,50,Delivered,2025-02-18
1001010,10,MAT003,1000010,CUST010,10,400,40,Delivered,2025-02-19
1001011,10,MAT002,1000011,CUST011,10,150,30,Delivered,2025-02-20
1001012,10,MAT001,1000012,CUST012,10,500,50,Delivered,2025-02-21
1001013,10,MAT004,1000013,CUST013,10,200,25,Delivered,2025-02-22
1001014,10,MAT003,1000014,CUST014,10,250,40,Delivered,2025-02-23
1001015,10,MAT002,1000015,CUST015,10,400,30,Delivered,2025-02-24
1001016,10,MAT001,1000016,CUST016,10,300,50,Delivered,2025-02-25
1001017,10,MAT003,1000017,CUST017,10,150,40,Delivered,2025-02-26
1001018,10,MAT004,1000018,CUST018,10,500,25,Delivered,2025-02-27
1001019,10,MAT001,1000019,CUST019,10,250,50,Delivered,2025-02-28
1001020,10,MAT002,1000020,CUST020,10,200,30,Delivered,2025-03-01
