order_id,customer_id,order_date,order_type,sales_organization,distribution_channel,division,order_status
1000001,CUST001,2025-02-01,OR,1000,10,1,Open
1000002,CUST002,2025-02-02,OR,1000,20,1,Delivered
1000003,CUST003,2025-02-05,OR,1000,10,1,Open
1000004,CUST004,2025-02-06,OR,1000,10,1,Closed
1000005,CUST005,2025-02-07,OR,1000,20,1,Open
1000006,CUST006,2025-02-08,OR,2000,10,2,Delivered
1000007,CUST007,2025-02-09,OR,1000,30,3,Open
1000008,CUST008,2025-02-10,OR,1000,10,1,Closed
1000009,CUST009,2025-02-11,OR,1000,20,2,Open
1000010,CUST010,2025-02-12,OR,1000,10,1,Open
1000011,CUST011,2025-02-13,OR,3000,10,2,Delivered
1000012,CUST012,2025-02-14,OR,2000,20,1,Closed
1000013,CUST013,2025-02-15,OR,1000,10,1,Open
1000014,CUST014,2025-02-16,OR,1000,10,1,Delivered
1000015,CUST015,2025-02-17,OR,1000,20,2,Open
1000016,CUST016,2025-02-18,OR,1000,30,3,Closed
1000017,CUST017,2025-02-19,OR,1000,10,1,Delivered
1000018,CUST018,2025-02-20,OR,1000,20,1,Open
1000019,CUST019,2025-02-21,OR,1000,10,2,Closed
1000020,CUST020,2025-02-22,OR,1000,20,1,Open
1000021,CUST021,2025-02-23,OR,3000,10,1,Delivered
1000022,CUST022,2025-02-24,OR,2000,20,2,Open
