shipment_id,item_number,product_id,delivery_id,order_id,customer_id,sales_item,shipped_quantity,item_status,shipment_date
2001001,10,MAT001,1001001,1000001,CUST001,10,100,Delivered,2025-02-10
2001001,20,MAT002,1001001,1000001,CUST001,20,200,Delivered,2025-02-10
2001002,10,MAT003,1001002,1000002,CUST002,10,150,Delivered,2025-02-11
2001003,10,MAT001,1001003,1000003,CUST003,10,300,Delivered,2025-02-12
2001004,10,MAT004,1001004,1000004,CUST004,10,500,Delivered,2025-02-13
2001005,10,MAT001,1001005,1000005,CUST005,10,200,Delivered,2025-02-14
2001006,10,MAT003,1001006,1000006,CUST006,10,120,Delivered,2025-02-15
2001007,10,MAT002,1001007,1000007,CUST007,10,250,Delivered,2025-02-16
2001008,10,MAT004,1001008,1000008,CUST008,10,300,Delivered,2025-02-17
2001009,10,MAT001,1001009,1000009,CUST009,10,350,Delivered,2025-02-18
2001010,10,MAT003,1001010,1000010,CUST010,10,400,Delivered,2025-02-19
2001011,10,MAT002,1001011,1000011,CUST011,10,150,Delivered,2025-02-20
2001012,10,MAT001,1001012,1000012,CUST012,10,500,Delivered,2025-02-21
2001013,10,MAT004,1001013,1000013,CUST013,10,200,Delivered,2025-02-22
2001014,10,MAT003,1001014,1000014,CUST014,10,250,Delivered,2025-02-23
2001015,10,MAT002,1001015,1000015,CUST015,10,400,Delivered,2025-02-24
2001016,10,MAT001,1001016,1000016,CUST016,10,300,Delivered,2025-02-25
2001017,10,MAT003,1001017,1000017,CUST017,10,150,Delivered,2025-02-26
2001018,10,MAT004,1001018,1000018,CUST018,10,500,Delivered,2025-02-27
2001019,10,MAT001,1001019,1000019,CUST019,10,250,Delivered,2025-02-28
2001020,10,MAT002,1001020,1000020,CUST020,10,200,Delivered,2025-03-01
